"","Date","air_travel","banking","death","divine","envy","gain","independence","injury","masculine","negotiate","payment","programming","reading","religion","sleep","swearing_terms","technology","tourism","weakness","worship","count","label"
"1",2020-02-19,0.04296875,0.0361328125,0.267578125,0.0556640625,0.0263671875,0.044921875,0.0224609375,0.2314453125,0.0341796875,0.0244140625,0.0419921875,0.037109375,0.1630859375,0.041015625,0.150390625,0.0673828125,0.0625,0.025390625,0.0595703125,0.0224609375,1024,"mw_anx_clean"
"2",2020-03-04,0.04,0,0.2,0.04,0.08,0.04,0,0.28,0.04,0,0,0.04,0.04,0.04,0.24,0.08,0.12,0,0.04,0,25,"mw_anx_clean"
"3",2020-03-18,0.0150634249471459,0.0459830866807611,0.201902748414376,0.0562896405919662,0.0161205073995772,0.0290697674418605,0.0121564482029598,0.187103594080338,0.0198202959830867,0.00977801268498943,0.0488900634249471,0.0787526427061311,0.105708245243129,0.040169133192389,0.114957716701903,0.0776955602536998,0.0988372093023256,0.0108350951374207,0.0621035940803383,0.0385835095137421,3784,"mw_anx_clean"
"4",2020-04-01,0.012846865364851,0.0369989722507708,0.202980472764645,0.0534429599177801,0.0154162384378212,0.0303186022610483,0.0220966084275437,0.194758478931141,0.02672147995889,0.00822199383350463,0.0369989722507708,0.0688591983556012,0.135149023638232,0.039568345323741,0.127440904419322,0.0601233299075026,0.0976361767728674,0.0118191161356629,0.0467625899280576,0.039054470709147,1946,"mw_anx_clean"
"5",2020-04-15,0.0234208658623137,0.0333569907735983,0.210787792760823,0.0376153300212917,0.0227111426543648,0.0432931156848829,0.0163236337828247,0.208658623136977,0.021291696238467,0.007097232079489,0.0227111426543648,0.0532292405961675,0.14833215046132,0.0262597586941093,0.161816891412349,0.0546486870120653,0.099361249112846,0.0262597586941093,0.0603264726756565,0.0227111426543648,1409,"mw_anx_clean"
"6",2020-05-06,0.0195652173913043,0.0391304347826087,0.218840579710145,0.041304347826087,0.0173913043478261,0.0333333333333333,0.022463768115942,0.199275362318841,0.0202898550724638,0.00652173913043478,0.0347826086956522,0.0456521739130435,0.152173913043478,0.0311594202898551,0.12463768115942,0.0731884057971015,0.0905797101449275,0.0166666666666667,0.0557971014492754,0.0304347826086957,1380,"mw_anx_clean"
"7",2020-05-20,0.0218543046357616,0.0377483443708609,0.243046357615894,0.0456953642384106,0.0225165562913907,0.0437086092715232,0.0218543046357616,0.233112582781457,0.0198675496688742,0.00927152317880795,0.023841059602649,0.0536423841059603,0.157615894039735,0.0278145695364238,0.123841059602649,0.0443708609271523,0.0854304635761589,0.0264900662251656,0.052317880794702,0.0337748344370861,1510,"mw_anx_clean"
"8",2020-06-03,0.033457249070632,0.0288104089219331,0.24907063197026,0.0529739776951673,0.0232342007434944,0.0408921933085502,0.016728624535316,0.25185873605948,0.0195167286245353,0.0111524163568773,0.0371747211895911,0.0557620817843866,0.143122676579926,0.0381040892193309,0.114312267657993,0.0678438661710037,0.0920074349442379,0.0157992565055762,0.0473977695167286,0.033457249070632,1076,"mw_anx_clean"
"9",2020-06-17,0.0174242424242424,0.0333333333333333,0.235606060606061,0.0340909090909091,0.025,0.0310606060606061,0.0212121212121212,0.212878787878788,0.0204545454545455,0.00757575757575758,0.0318181818181818,0.053030303030303,0.122727272727273,0.0303030303030303,0.128787878787879,0.0734848484848485,0.0909090909090909,0.0204545454545455,0.053030303030303,0.0310606060606061,1320,"mw_anx_clean"
"10",2020-07-01,0.0297709923664122,0.0389312977099237,0.212213740458015,0.0297709923664122,0.0358778625954198,0.049618320610687,0.0152671755725191,0.219083969465649,0.0221374045801527,0.00916030534351145,0.0435114503816794,0.0312977099236641,0.105343511450382,0.0274809160305344,0.129770992366412,0.0763358778625954,0.0801526717557252,0.0137404580152672,0.0603053435114504,0.0229007633587786,1310,"mw_anx_clean"
"11",2020-07-15,0.02,0.0328,0.204,0.0408,0.0288,0.0256,0.0176,0.1984,0.0248,0.0096,0.032,0.044,0.1296,0.0368,0.14,0.0808,0.0752,0.0152,0.0504,0.0368,1250,"mw_anx_clean"
"12",2020-08-05,0.0217755443886097,0.0242881072026801,0.256281407035176,0.0351758793969849,0.0234505862646566,0.033500837520938,0.0117252931323283,0.233668341708543,0.033500837520938,0.0067001675041876,0.0226130653266332,0.050251256281407,0.124790619765494,0.0234505862646566,0.14070351758794,0.0737018425460637,0.0737018425460637,0.0276381909547739,0.0452261306532663,0.0175879396984925,1194,"mw_anx_clean"
"13",2020-08-19,0.0160550458715596,0.0336391437308868,0.182721712538226,0.0443425076452599,0.0206422018348624,0.0756880733944954,0.0443425076452599,0.220183486238532,0.0267584097859327,0.0114678899082569,0.0290519877675841,0.0397553516819572,0.112385321100917,0.0565749235474006,0.124617737003058,0.0863914373088685,0.0611620795107034,0.0206422018348624,0.0389908256880734,0.0321100917431193,1308,"mw_anx_clean"
"14",2020-09-02,0.0235714285714286,0.0314285714285714,0.241428571428571,0.0364285714285714,0.0192857142857143,0.0514285714285714,0.0207142857142857,0.214285714285714,0.0328571428571429,0.0135714285714286,0.0321428571428571,0.0485714285714286,0.122142857142857,0.0314285714285714,0.123571428571429,0.0835714285714286,0.075,0.00642857142857143,0.0457142857142857,0.0228571428571429,1400,"mw_anx_clean"
