air_travel,banking,death,divine,envy,gain,independence,injury,masculine,negotiate,payment,programming,reading,religion,sleep,swearing_terms,technology,tourism,weakness,worship,outcome
0.017857143,0.017857143,0.178571429,0.029761905,0.005952381,0.041666667,0.005952381,0.154761905,0.005952381,0.005952381,0.041666667,0.05952381,0.095238095,0.029761905,0.071428571,0.029761905,0.101190476,0.017857143,0.035714286,0.023809524,-0.031886905
0.031088083,0.025906736,0.284974093,0.025906736,0.025906736,0.051813472,0.005181347,0.279792746,0.015544041,0.010362694,0.051813472,0.015544041,0.077720207,0,0.10880829,0.103626943,0.031088083,0.005181347,0.03626943,0,0.119119171
0.066666667,0.046666667,0.26,0.053333333,0.006666667,0.06,0.013333333,0.26,0.02,0.02,0.1,0.06,0.086666667,0.033333333,0.08,0.073333333,0.08,0.026666667,0.046666667,0.04,-0.015766667
0.025316456,0.044303797,0.329113924,0.101265823,0.012658228,0.044303797,0.018987342,0.284810127,0.044303797,0.012658228,0.088607595,0.044303797,0.120253165,0.012658228,0.101265823,0.082278481,0.025316456,0.044303797,0.025316456,0.025316456,0.08806962
0.024390244,0.016260163,0.162601626,0.048780488,0.016260163,0.016260163,0.008130081,0.178861789,0.016260163,0.008130081,0.056910569,0.056910569,0.056910569,0.040650407,0.130081301,0.081300813,0.06504065,0.032520325,0.032520325,0.040650407,0.056260163
0.02247191,0.02247191,0.292134831,0,0.02247191,0.033707865,0,0.213483146,0.02247191,0.011235955,0.056179775,0.033707865,0.056179775,0.011235955,0.078651685,0.06741573,0.056179775,0.033707865,0.056179775,0,0.074640449
0,0.084337349,0.204819277,0.036144578,0.024096386,0.060240964,0.024096386,0.289156627,0.048192771,0.012048193,0.084337349,0,0.060240964,0,0.108433735,0.048192771,0.024096386,0.012048193,0.048192771,0.024096386,0.080698795
0,0.028037383,0.14953271,0.018691589,0.009345794,0.028037383,0,0.14953271,0.018691589,0.018691589,0.018691589,0,0.074766355,0.009345794,0.140186916,0.093457944,0,0.018691589,0.08411215,0.018691589,0.12235514
0.051546392,0.072164948,0.216494845,0.020618557,0.010309278,0.020618557,0,0.195876289,0.020618557,0.030927835,0.06185567,0.030927835,0.072164948,0.041237113,0.195876289,0.072164948,0.06185567,0.030927835,0.103092784,0.020618557,0.051298969
0.014925373,0.089552239,0.313432836,0.074626866,0.007462687,0.029850746,0.014925373,0.291044776,0.044776119,0.037313433,0.082089552,0.037313433,0.164179104,0.014925373,0.134328358,0.097014925,0.02238806,0.02238806,0.074626866,0.052238806,0.093179104
0.01242236,0.068322981,0.267080745,0.031055901,0.037267081,0.037267081,0.01863354,0.204968944,0.037267081,0.02484472,0.080745342,0.02484472,0.086956522,0.01863354,0.111801242,0.074534161,0.037267081,0.01242236,0.049689441,0.01863354,0.064975155
0.021126761,0.021126761,0.288732394,0.049295775,0.042253521,0.035211268,0.007042254,0.295774648,0.035211268,0.007042254,0.063380282,0.056338028,0.176056338,0.021126761,0.14084507,0.084507042,0.105633803,0.021126761,0.042253521,0.042253521,0.066753521
0.007874016,0.05511811,0.377952756,0.062992126,0.007874016,0.023622047,0.039370079,0.362204724,0.023622047,0,0.078740157,0.078740157,0.070866142,0.047244094,0.070866142,0.015748031,0.078740157,0.031496063,0.05511811,0.023622047,0.098543307
0.042857143,0.057142857,0.371428571,0.042857143,0.028571429,0.021428571,0,0.35,0.014285714,0.014285714,0.057142857,0.021428571,0.092857143,0.021428571,0.092857143,0.078571429,0.057142857,0.028571429,0.057142857,0.014285714,0.135992857
0.010204082,0.081632653,0.316326531,0.035714286,0.005102041,0.030612245,0.020408163,0.31122449,0.010204082,0.035714286,0.045918367,0.040816327,0.086734694,0.015306122,0.153061224,0.025510204,0.035714286,0.040816327,0.040816327,0.005102041,0.065897959
0.027972028,0.062937063,0.181818182,0.045454545,0.013986014,0.055944056,0.006993007,0.195804196,0.020979021,0.003496503,0.062937063,0.024475524,0.108391608,0.006993007,0.094405594,0.06993007,0.041958042,0.038461538,0.034965035,0.020979021,-0.00856993
0.026086957,0.052173913,0.256521739,0.039130435,0.013043478,0.060869565,0.030434783,0.204347826,0.030434783,0.008695652,0.030434783,0.026086957,0.12173913,0.043478261,0.108695652,0.047826087,0.086956522,0.017391304,0.039130435,0.030434783,0.025004348
0.004651163,0.060465116,0.186046512,0.055813953,0.023255814,0.069767442,0.013953488,0.181395349,0.041860465,0.004651163,0.051162791,0.051162791,0.102325581,0.018604651,0.093023256,0.060465116,0.065116279,0.013953488,0.051162791,0.037209302,0.017706977
0.028169014,0.070422535,0.218309859,0.021126761,0.014084507,0.035211268,0.028169014,0.225352113,0.035211268,0.028169014,0.063380282,0.042253521,0.098591549,0.014084507,0.169014085,0.126760563,0.112676056,0.021126761,0.028169014,0.014084507,-0.008922535
0.020689655,0.068965517,0.227586207,0.055172414,0.006896552,0.089655172,0.006896552,0.193103448,0.027586207,0.027586207,0.075862069,0.048275862,0.117241379,0.034482759,0.124137931,0.048275862,0.082758621,0,0.027586207,0.04137931,-0.025137931
0.014184397,0.127659574,0.255319149,0.014184397,0.042553191,0.056737589,0.042553191,0.24822695,0.035460993,0.028368794,0.113475177,0.04964539,0.085106383,0.014184397,0.120567376,0.078014184,0.028368794,0.028368794,0.028368794,0.021276596,-0.025730496
