"","Date","air_travel","banking","death","divine","envy","gain","independence","injury","masculine","negotiate","payment","programming","reading","religion","sleep","swearing_terms","technology","tourism","weakness","worship","count","label"
"1",2020-01-01,0,0,0,0,0,0,0,0.181818181818182,0,0,0,0.818181818181818,0,0,0,0,0.909090909090909,0,0,0,11,"API_covid_clean"
"2",2020-01-02,0.142857142857143,0,0,0.0476190476190476,0,0,0,0.0476190476190476,0,0,0,0.952380952380952,0,0,0.0476190476190476,0.19047619047619,0.952380952380952,0,0.0952380952380952,0,21,"API_covid_clean"
"3",2020-01-03,0.153846153846154,0,0.307692307692308,0.153846153846154,0,0,0,0.307692307692308,0,0,0,0.769230769230769,0.0769230769230769,0,0,0.0769230769230769,0.923076923076923,0.0769230769230769,0,0,13,"API_covid_clean"
"4",2020-01-04,0,0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0,0.0588235294117647,0.117647058823529,0,0,0,0.941176470588235,0.117647058823529,0.0588235294117647,0.117647058823529,0.117647058823529,1.05882352941176,0.117647058823529,0,0.0588235294117647,17,"API_covid_clean"
"5",2020-01-05,0.0909090909090909,0,0.181818181818182,0,0.0454545454545455,0,0,0.227272727272727,0.0454545454545455,0,0,1,0.181818181818182,0,0.0909090909090909,0.0454545454545455,1,0.0909090909090909,0,0,22,"API_covid_clean"
"6",2020-01-06,0,0.142857142857143,1.14285714285714,0.0714285714285714,0,0.0714285714285714,0,0.642857142857143,0,0,0.0714285714285714,1.14285714285714,0.285714285714286,0,0.0714285714285714,0,1.28571428571429,0,0,0,14,"API_covid_clean"
"7",2020-01-07,0,0.0769230769230769,0.153846153846154,0,0,0,0,0.230769230769231,0.0769230769230769,0,0.0769230769230769,0.769230769230769,0.230769230769231,0,0.0769230769230769,0.0769230769230769,0.769230769230769,0,0.153846153846154,0,13,"API_covid_clean"
"8",2020-01-08,0.125,0.125,0.125,0,0,0,0,0.375,0,0.125,0.125,0.875,0.25,0,0.125,0.125,1.125,0,0,0,8,"API_covid_clean"
"9",2020-01-09,0,0,0.210526315789474,0,0,0,0.0526315789473684,0.368421052631579,0.0526315789473684,0,0,0.842105263157895,0,0,0.0526315789473684,0,0.894736842105263,0,0,0,19,"API_covid_clean"
"10",2020-01-10,0.0357142857142857,0.0357142857142857,0.178571428571429,0,0,0.0357142857142857,0,0.321428571428571,0.107142857142857,0,0,0.428571428571429,0.0357142857142857,0,0.142857142857143,0,0.428571428571429,0,0.0357142857142857,0,28,"API_covid_clean"
"11",2020-01-11,0,0,0.333333333333333,0,0,0,0,0.222222222222222,0,0,0.0555555555555556,0.666666666666667,0,0,0.111111111111111,0,0.666666666666667,0,0,0,18,"API_covid_clean"
"12",2020-01-12,0.142857142857143,0,0.0714285714285714,0,0,0,0.0714285714285714,0.142857142857143,0,0,0,0.785714285714286,0.214285714285714,0.0714285714285714,0.0714285714285714,0.142857142857143,0.785714285714286,0.142857142857143,0,0,14,"API_covid_clean"
"13",2020-01-13,0,0,0.307692307692308,0,0,0,0,0.307692307692308,0.230769230769231,0,0,0.846153846153846,0,0.0769230769230769,0,0,0.846153846153846,0,0,0.0769230769230769,13,"API_covid_clean"
"14",2020-01-14,0,0,0.307692307692308,0,0,0,0,0.384615384615385,0.0769230769230769,0,0,0.615384615384615,0.230769230769231,0,0,0.153846153846154,0.692307692307692,0,0,0,13,"API_covid_clean"
"15",2020-01-15,0,0,0.2,0,0,0.05,0.05,0.2,0,0,0,1,0.15,0,0,0,1.15,0,0.05,0,20,"API_covid_clean"
"16",2020-01-16,0,0.0666666666666667,0.4,0,0,0.0666666666666667,0,0.2,0,0.0666666666666667,0,0.8,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0.8,0.0666666666666667,0,0,15,"API_covid_clean"
"17",2020-01-17,0.0869565217391304,0,0.0869565217391304,0,0,0,0,0.304347826086957,0,0,0.217391304347826,0.826086956521739,0,0,0.0869565217391304,0.173913043478261,0.826086956521739,0,0,0,23,"API_covid_clean"
"18",2020-01-18,0.037037037037037,0,0.555555555555556,0.037037037037037,0,0,0,0.740740740740741,0.037037037037037,0,0,0.666666666666667,0.0740740740740741,0.037037037037037,0.037037037037037,0,0.666666666666667,0,0.0740740740740741,0,27,"API_covid_clean"
"19",2020-01-19,0,0.0555555555555556,0.277777777777778,0.0555555555555556,0,0,0,0.388888888888889,0,0,0.0555555555555556,0.777777777777778,0.0555555555555556,0.0555555555555556,0.111111111111111,0,0.777777777777778,0,0,0.0555555555555556,18,"API_covid_clean"
"20",2020-01-20,0.125,0.0833333333333333,0.125,0,0,0.0416666666666667,0,0.208333333333333,0,0.0416666666666667,0.0416666666666667,1.125,0.0833333333333333,0.0833333333333333,0,0,1.08333333333333,0,0.0416666666666667,0,24,"API_covid_clean"
"21",2020-01-21,0,0.05,0.175,0.025,0.025,0,0,0.2,0.05,0,0.05,0.775,0.1,0,0.025,0.025,0.8,0.025,0.025,0,40,"API_covid_clean"
"22",2020-01-22,0.0638297872340425,0.0212765957446809,0.212765957446809,0.0212765957446809,0,0.0212765957446809,0,0.234042553191489,0.0212765957446809,0.0212765957446809,0.0425531914893617,1,0.0425531914893617,0.106382978723404,0.106382978723404,0.0212765957446809,0.978723404255319,0.0212765957446809,0.0212765957446809,0.0212765957446809,47,"API_covid_clean"
"23",2020-01-23,0.0703125,0,0.1328125,0.0390625,0,0.0234375,0,0.1640625,0.046875,0.015625,0.0078125,0.8359375,0.09375,0,0.0546875,0.0234375,0.859375,0.0859375,0.0390625,0.015625,128,"API_covid_clean"
"24",2020-01-24,0.0747663551401869,0.00934579439252336,0.214953271028037,0.0373831775700935,0,0.0280373831775701,0.00934579439252336,0.233644859813084,0.0186915887850467,0,0.0280373831775701,0.831775700934579,0.0841121495327103,0.0186915887850467,0.0280373831775701,0.0186915887850467,0.841121495327103,0.0373831775700935,0.0280373831775701,0.00934579439252336,107,"API_covid_clean"
"25",2020-01-25,0.0769230769230769,0.0256410256410256,0.478632478632479,0.0170940170940171,0,0.0256410256410256,0.0170940170940171,0.384615384615385,0.0854700854700855,0.00854700854700855,0.0256410256410256,0.863247863247863,0.0512820512820513,0.0256410256410256,0.0512820512820513,0.0512820512820513,0.863247863247863,0.0598290598290598,0.00854700854700855,0,117,"API_covid_clean"
"26",2020-01-26,0.0695652173913043,0.121739130434783,0.208695652173913,0.0521739130434783,0.00869565217391304,0.0347826086956522,0.00869565217391304,0.260869565217391,0.0347826086956522,0.0260869565217391,0.139130434782609,0.947826086956522,0.0347826086956522,0.0347826086956522,0.0434782608695652,0.0782608695652174,0.956521739130435,0.0173913043478261,0,0.0521739130434783,115,"API_covid_clean"
