tweet_id,text,user,location,date
1354234239315800065,@GovKemp - the State of Georgia needs to prioritize COVID-19 vaccines for teachers and staff in our schools now. Ou… https://t.co/02eutGIi6j,danayoung,ATL,2008-05-30 01:05:43
1354234205178273792,"Northland community Covid-19 case now recovered, continuing to isolate at home https://t.co/MxnwBCwt8M https://t.co/5kzCMBz2Vm",1NewsNZ,New Zealand,2008-04-04 09:03:48
1354234180092084225,'More robust' testing for UK variant needed to show community spread: Gardner https://t.co/74yJXLmiNM https://t.co/7AQnI6a5hU,BradfordTodayCa,,2018-03-08 20:26:15
1354234170638266369,"I’ve lived in Massachusetts for 12 years now. Have I gotten used to New England winters by now? Nope, still haven’t… https://t.co/azbgCHblpP",star1541,On the path. ,2008-11-16 23:26:46
1354234141177475078,"One year ago, @AZDHS announced the first case of COVID-19 in Arizona. Since then, we’ve worked together to overcome… https://t.co/Hj31MWFJ08",DignityHealthAZ,Arizona,2010-06-21 15:50:05
1354234133858443265,Covid Cases Drop in Every U.S. State; Deaths Persist https://t.co/cIiitGejOz via @YouTube,KingWray2,"Tampa, FL",2018-07-28 05:58:23
1354234122777063425,Feel like my sinuses still haven’t recovered from that violation they call a COVID test https://t.co/3J0W9zrAka,triforceones,,2019-07-15 03:59:37
1354234105509126148,this double mask shit is gonna make me look like a fuckin nimrod cause I already did it sometimes to not somehow gi… https://t.co/ZkpMojLPVr,SadJohnnyBoy,Texas,2016-08-04 06:16:08
1354234080561410048,Mum who claims she got Covid twice developed 'torturous rash' and still suffers https://t.co/A3Rrp6EI9u https://t.co/liWzY6tcVy,DailyMirror,UK,2008-10-21 14:58:45
1354234070079840256,The Biden administration is buying millions of additional Covid vaccine doses. We have the latest news on our daily… https://t.co/LvVYu3mjuk,thenewsoncnbc,"Englewood Cliffs, NJ",2011-09-02 14:38:31
1354234059904397314,"Are you missing date nights since COVID hit? Well, I have 41 great ideas for cheap or free date nights that include… https://t.co/d0c1M6Dgmk",MomBlogTips,"Utah, United States",2010-01-27 02:18:47
1354234020024905728,#Vietnam's Communist Party congress meets behind closed doors to map out the next five years post #COVID via @ABC… https://t.co/Z7eLDkunWl,le2huong,,2018-02-02 00:39:29
1354234019215364098,Hi @CherokeeSchools — a new CDC report on a study of 17 Wisconsin schools demonstrates that masks and other mitigat… https://t.co/Z5bBCw4XNm,Jamie1km,"Atlanta, Georgia, USA",2008-07-17 16:56:38
1354234017474818050,"More than 100,000 people have died with Covid-19 in the UK https://t.co/EfKSb6cZZA #UKGovernment #Covid19UK… https://t.co/PzhcxXdLF7",Shegzenny1,"Lagos, Nigeria",2020-10-18 19:50:51
1354234014673076226,#Coronavirus  #COVID-19 #Covid19 benefits     Update 120: #Anticoagulants (#Blood #Thinners) Improve Hospital...… https://t.co/mPeC7WWRiz,WorldHelpTsunam,World ,2011-03-11 16:33:42
1354234008905936903,"Covid deaths: &amp;apos;Hard to compute sorrow&amp;apos; of 100,000 milestone - PM  Boris Johnson says he takes ""full respo… https://t.co/osSMAQKsPq",_oftoday_,The Netherlands,2015-10-02 13:14:20
1354233999959314441,"Millionaire and now ex-CEO of Canadian casino and his actress wife chartered a private flight to a rural, indigenou… https://t.co/b32A5krlnn",cestpatrickjr,au cinema,2012-06-30 18:36:09
1354233977750523906,Members of the Indus Minor Hockey Association gathered at the Indus Rec Centre today to protest the continued ban o… https://t.co/pjvTSsxul1,scottstrasser19,"Calgary, Alberta",2013-12-29 18:37:37
1354233973963182080,Enthusiasm over COVID-19 vaccines tempered by talk of protectionism and hoarding https://t.co/4C6SWLUTcm https://t.co/UVFoCE4uxE,ReutersUK,"London, United Kingdom",2008-10-29 08:43:00
1354233951217455105,"100,000 UK Covid deaths: the highest in Europe - BBC News https://t.co/hFxmhaumfe via @YouTube",HuppiesNetwork,London UK,2013-09-26 13:23:57
1354233934557675521,What changes should eye care practices be expecting in light of COVID-19? https://t.co/9kweRtveJZ https://t.co/jWoFykiBUY,CLXsystem,"St. Louis, MO",2013-05-22 21:01:23
1354233933903364099,"Jesse saying that this new story 4 Casey with this new girl ""come out of nowhere"" is so freaking true cuz in a worl… https://t.co/qICWtMHF08",BrettseyDaily,,2020-10-14 17:56:33
1354233933601402881,Looking for adult and elder care support during COVID-19? UW HR has a great list of resources.… https://t.co/iWTLXVwy8N,UWGradSchool,"Seattle, WA",2009-06-15 15:26:58
1354233932141780996,Normally I drag @namjoon_organic or whoever’s closest to outback with me on Australia Day but Covid said no so I’m… https://t.co/eGL9hTxzrC,chelleisgolden,Eroda,2019-07-28 23:28:08
1354233930530975745,"The NYT Has Not Heard Of China's Vaccine (Or Russia's Or India's) - OpEd
https://t.co/cmgC1AeGIf
It is more than a… https://t.co/vCIzNrtRUg",EurasiaReview,Everywhere,2009-02-25 11:26:53
1354233928962498565,Have questions about the #CRSSA Act? @SavvasLearning put together this awesome infographic to answer your questions… https://t.co/JQjO733TBP,KellyBallSavvas,,2020-11-16 18:48:41
1354233924311015429,"When called to schedule your COVID-19 vaccine appointment, DO NOT provide more information than filled out online o… https://t.co/nLAETDygsv",LeonCounty,"Tallahassee, FL",2009-06-22 18:18:15
1354233923920867328,"New Jersey Transit will test an array of emerging technologies like heat-mapping, face-detection and AI to monitor… https://t.co/GtZBCLtRJ2",State_Scoop,"Washington, DC",2012-12-03 23:02:07
1354233913221079042,"@ochealth The State's COVID plan is showing that we are now vaccinating those in '1B Tier One'.

Is this true for O… https://t.co/HYIARf2LD5",greeninoc,"Orange County, CA",2008-10-31 19:48:42
1354233888361467905,Not sure this is an effective COVID shield. #covidfail https://t.co/LCT6o5wdRq,RH30PHX,"Arizona, USA",2012-01-25 01:11:38
1354233888135110656,"Found the covid vaccine y'all want anything? #PS5Share, #RESIDENTEVIL7biohazard https://t.co/grDqZKBjtC",BriansSwitch,,2017-04-01 17:33:53
1354233886100779012,"A guide to when Malaysians can get vaccinated for Covid-19
https://t.co/BXz0uqvY9x
#covid19 #vaccine #malaysia 
Sou… https://t.co/9SS1Qf63AT",SalihuddinMusa,Kuala Lumpur,2012-01-12 09:56:43
1354233884523827206,"Vintage Arlac Pen Holder, Plastic Desk Organizer, Office Utensils, Industrial Desk Office Supply, Black OR White Co… https://t.co/7uepGAGRB0",MaLanterne,"Crete, Greece",2012-06-07 12:52:02
1354233868052652032,Our on-campus admin for the Elementary School's pregnant wife just tested positive for Covid. He left school in the… https://t.co/Bh0FIyNViB,TheLadyOfSummer,"Montana, USA",2014-06-09 22:45:03
1354233861799030785,Covid inspired sfx makeup https://t.co/4Dhpir9HGr,ArtsyFilmer,United States,2013-01-03 01:28:39
1354233861077520386,"Coronavirus COVID-19 - Glass sculpture by Luke Jerram (b 1974, UK). 

A new installation at work in honour of all t… https://t.co/QDpqcJkm5k",Surono34098683,"Melbourne, Australia",2018-05-25 08:19:38
1354233847689453573,"[26/01/2021] COVID-19🇵🇪#⃣1⃣8⃣🌐 (1/2)

🆕Casos Totales: 1'107,239 (+4,444)
➕Positividad: 15%⬇️
     🔹 Positividad PCR… https://t.co/FvFXTApcAP",RManu_el,"Lima, Perú",2014-07-23 04:04:28
1354233836767305729,COVID-19 protective measures: Face mask education is still taking place in some partner communities. Our team alway… https://t.co/bDOirDpTm4,HIHngo,Global,2012-03-19 21:13:18
1354233835404275712,"Hospital bed seller with COVID centre contract FINED $5,000 for opening ... https://t.co/Y2zPSiWZxn via @YouTube",Magnum240,Brantford,2011-02-25 18:36:17
1354233826839584769,THE PCR DECEPTION⎮Short Documentary About the Test Used for Covid-19 https://t.co/rrKROkqYX8 via @YouTube,Dubost55868081,,2020-06-24 19:21:20
1354233809651175428,The @USPTO Implements Programs for Expedited COVID-19 Related #Patent Applicants: https://t.co/FicYApUu9g https://t.co/sV8T6OZyyl,intelproperty,"Los Angeles, CA",2010-03-12 00:10:31
1354233805972910080,"Calling all comrades:
As you all know, we feed the houseless and have a clothing drive every Saturday from 10 am un… https://t.co/h5VVIQdgdK",AtlantaJustice,,2020-08-04 18:44:43
1354233802281918464,".@JoeBiden:Mr. Pdte, if those are your words through your press officer: it starts very badly, because it is in you… https://t.co/uaAueeAfs4",cocoroteindio,venezuela,2010-05-12 13:14:12
1354233800750841857,Italian politics and Dutch protests add to Europe's Covid woes https://t.co/YbmcHUJMl5 https://t.co/B8nfNMqVlB,thegermanhut,Sydney - Australia,2011-06-12 05:02:53
1354233800599818242,NBA TV's Sekou Smith Dead at 48 After COVID Battle: Longtime NBA reporter Sekou Smith -- a staple on NBA TV -- has… https://t.co/QuUupD31MD,x_enters,www,2019-10-08 13:27:06
1354233774708416516,Your tax dollars are going to the impeachment of a private citizen rather than COVID relief. We must hold Congress… https://t.co/plA9S7dhTc,TimTaylor101257,,2017-06-25 01:46:41
1354233773982953474,"PNP reports 41 more COVID-19 recoveries

Read here: https://t.co/5QEHSuBC7l

#eaglenews https://t.co/xwo8A4eC0L",EagleNews,,2013-10-30 05:40:44
1354233767062339588,Amazon Worker Poushawn Brown Dies After Working in COVID Testing Without... https://t.co/HvkhgVIq5b via @YouTube,RicRistorcelli,"Clearwater,Florida",2013-12-31 13:31:22
1354233749899153411,(➤ 𝗔𝗡𝗜𝗠𝗘 𝗡𝗘𝗪𝗦) The official website for the Kingdom anime announced additional cast members for the anime's 3rd sea… https://t.co/DqnhOojbhg,theseiyuucafe,,2020-01-04 18:46:19
1354233729535733760,Proud to volunteer today and give Covid vaccines here in LA County. ⁦@Opiant_Pharma⁩ ⁦@TheForum⁩ https://t.co/Jjg2e9hUW1,RogerCrystalMD,"Santa Monica, CA",2016-09-28 15:54:15
1354233723168940035,@ covid. https://t.co/54eITZolq7,iamkierrachanel,,2020-06-16 05:15:18
1354233699659698176,#Business confidence tanked in December after Sydney's pre-Christmas #COVID outbreak. It dropped to +4 pts (much wo… https://t.co/fuHucQPaZ8,ChauDave,"Sydney, New South Wales",2012-01-18 22:46:44
1354233698359631876,"Nice moving the goal posts. Here is another study confirming it’s effectiveness specifically for SARS-CoVID 19.

An… https://t.co/90DfShwSU3",mambi26,Cuban 🇨🇺 ☭ (They),2020-10-14 17:54:14
1354233696518340611,"Timcast IRL - China Escalates ANAL SWAB COVID Tests, Fauci Says DOUBLE M... https://t.co/m1fRQ2DyX4 via @YouTube",Barendius,Portugal,2012-12-26 18:29:52
1354233691946496001,Health officials on Tuesday said they are trying to confirm if several cases of COVID-19 at a Marion County public… https://t.co/e7v2TNcH8d,OcalaGazette,"Ocala, FL",2020-05-28 14:36:35
1354233687416705024,Another negative COVID test acquired https://t.co/HMxNZdcWFE,ShareefJackson,"Milwaukee, WI",2010-11-04 12:55:38
1354233679988416512,@WSJ Joe Biden is doing his very best to help us defeat Covid-19. https://t.co/EDpx1pjVCA,lvhothead2483,"Las Vegas, NV",2016-06-12 22:40:59
1354233639731568641,https://t.co/J1HMY6d8jc AC Milan duo Calhanoglu and Hernandez test positive for Covid-19 https://t.co/vkaOY4M9ST,bap66s,,2020-10-20 00:14:18
1354233635491213314,"@BetterIRL2021 I just passed my first online exam in the age of covid. 
My mood... https://t.co/cwcRBex3yP",AndrewNolan2020,Canada,2016-07-15 03:10:16
1354233632622313473,do you guys think this stale meme will shame the governor into not letting everyone in the state get covid :/ https://t.co/7Jq9vf16kH,RaoHyrule,she/her #BLM #ACAB,2011-08-19 00:13:27
1354233617061437444,Ya boy started the new year with Covid but I’m back babyy 🙌🏾 https://t.co/B0J34jo6iJ,SkyHighEph,"New York, USA",2009-04-26 00:54:45
1354233592210223106,Pension warning: Over 55s impacted by covid urged to consider savings options https://t.co/cD1coCnUEV,autobloglobal,,2015-07-26 11:34:09
1354233589223755777,Dine-in restaurants across the country will likely this week be allowed to extend their opening times to midnight f… https://t.co/m0OLPVdfN7,thainewsreports,Thailand,2012-03-20 12:45:29
1354233586371547142,Willow Cree Healing Lodge inmate with COVID-19 dies - Correctional Service Canada (CSC) says a Willow Cree Healing… https://t.co/pbo4DcQNbb,iWeller_health,,2012-07-31 17:55:29
1354233573297987586,Covid-19: Northland community case's close contacts return negative results https://t.co/G6D32qNvVp https://t.co/zI7MMfedhz,MSNNZ,New Zealand,2010-09-26 21:55:37
1354233569627893762,Covid than die from humiliation and poverty. They are back to the streets; they don’t have money to feed their chil… https://t.co/ji90Oa5SnZ,mastermind1971,Singapore,2017-09-05 08:52:43
1354233550166437888,"1,214 deaths and 61,963 new confirmed cases of COVID-19 reported #brazil #health #epidemic https://t.co/pIh5oMCEdw https://t.co/2EEESOAWlp",_hozint,Brussels,2014-05-16 12:08:01
1354233531539611649,Before COVID-19 with buddies. https://t.co/C2gOICnPHZ,kasemmd9,"London, England",2011-08-17 01:55:27
1354233529316466690,A Canadian therapeutics company has begun their first clinical trials of a homegrown covid vaccine! - Pol &amp; Jenny🍁… https://t.co/vR05udwz4K,TheZone913,"Victoria BC Canada, eh?",2009-02-27 18:45:50
1354233526560858113,"@schraderism @japantimes The percentage of those positive is much higher in Florida compared to Japan, so I believe… https://t.co/NMidW0lPMS",hwjfiwhckwi,,2018-11-21 14:27:54
1354233475835035657,@dis_is_slime *covid chillin like* https://t.co/orvHFay2PA,kawaii_melanin,"Calabasas, CA",2011-05-30 10:09:44
1354233458546135042,@COVID19Tracking COVID metrics normalized by population size. https://t.co/2wn6B1o8mU,skrymir42,"Ottawa, Ontario, Canada",2012-03-17 03:40:55
1354233439042629633,"Ontario is set to outpace Quebec in the number of Covid-19 cases, if it hasn't already! 
Doug Ford consults with Le… https://t.co/BrBbmXyoUB",Tammyocanada,Canada,2016-07-16 00:19:03
1354233437041922048,The last thing I did before covid! I miss my boys @howied https://t.co/EVdNlWciEZ,TammyFreites1,"Buenos Aires, Argentina",2014-07-27 04:08:27
1354233434982522880,Linebacker Fred Warner said the fear of the unknown made it especially tough for him when he went on the NFL&amp;#x27;s… https://t.co/m1Db1a6OS0,MLB_News247,unit,2018-04-30 15:53:48
1354233428842074114,NBA analyst Sekou Smith passed away from Covid-19 today. I hear no discussion of the vaccine so far. Did he reject… https://t.co/K2hVh253NN,Worldpeace4evre,,2011-10-14 00:32:50
1354233426023501829,Launching a Business During Covid-19 https://t.co/4PPW8XLi6T via @MelissaOnline https://t.co/bxDFta8fab,JL_Campbell,Jamaica,2009-07-26 17:04:15
1354233422118588418,Airlines say some travelers are shunning Mexico vacations due to new COVID test requirement https://t.co/ezzxKEVFHT https://t.co/LSGz0EMOL1,Yahoo,Sunnyvale CA,2009-01-23 04:14:41
1354233412769492996,"#LATEST at 11PM: New COVID-19 cases and hospitalizations across Ohio continue to decrease.

Gov. Mike DeWine said i… https://t.co/aPIoujbAgO",DanGriffinWLWT,"Cincinnati, OH",2012-08-14 19:09:13
1354233411825790979,"MOUNT HOPE, WV (WOAY) -  On Monday, West Virginia debuted an online portal for residents to register for coronaviru… https://t.co/KzZm56ZZEe",WOAYNewsWatch,"Oak Hill, WV",2011-05-05 16:31:07
1354233410529722369,"This racist old guy known as ""The Covid Racist"" is an EXACT copy of my father! 

The resemblance in attitude, thoug… https://t.co/eKDL5gQY3q",TheRealDHensley,"Chicago, IL ",2020-10-02 06:17:25
1354233399414841348,COVID-19 Update: 26 new positive COVID-19 cases recorded - https://t.co/tJwHvaYqri https://t.co/Sq3JoZ4q9l,BarbadosToday,Barbados,2010-01-15 20:51:21
1354233397887942658,"Let's do our part 💪🏻 while we fight with Covid-19... Everyone can be a hero

@Twt_Cyberjaya https://t.co/p6eepC6yi2",DPULZEcyberjaya,Cyberjaya,2020-06-30 03:15:53
1354233397250461697,i just found this old video and i miss my team 😭😭😭 covid please go away!! i miss to practice at studio 😢😢😢😢 https://t.co/Z4qEOGU95F,jeongechansupp1,,2021-01-24 15:21:50
1354233386563297280,I’ve came so far from my weight loss journey 4 years apart barely started working out last year before Covid hit https://t.co/LajUkJ2zUp,Pee_Truh,,2011-09-14 01:31:17
1354233384365674504,Interesting video about Covid.  https://t.co/3jY0qD5MvN,sonjarenee2001,Kansas,2009-03-27 05:22:00
1354233369115172869,35 #kyga21 members joined first-ever #Nonprofit Caucus mtg to discuss impact of Covid on 4th largest employer. Than… https://t.co/Mgev23rKdV,kynonprofits,,2009-02-25 19:38:49
1354233363356389380,Today's COVID-19 reporting roundup - https://t.co/bq8SvB5JGM https://t.co/SuvfnKmltV,GroundTruth,"Boston, MA",2012-11-20 20:53:09
1354233362219753475,There's still time to register for tomorrow's virtual event! Hear firsthand about the Paralympic training program a… https://t.co/hRb86lnbXH,CRIBoston,"Brighton, MA",2010-01-28 03:27:55
1354233352048541697,COVID-19 Increases Number of Texas Children Going Hungry https://t.co/hFBUJsMgKj https://t.co/HgeiJH2MyV,PNS_TX,"Texas, USA",2010-02-11 07:42:56
1354233339922669570,PINOY LOCAL BAZAAR IN THE TIME OF COVID - FESTIVAL LOKAL - TOUR + MUKBANG https://t.co/85PgysLxGE via @YouTube,brett_glasow,"Kent, WA",2017-08-18 05:21:53
1354233334063378436,Man With COVID-19 Was Dying - Then God Sent a Cleaner https://t.co/yFKq9iAL09 via @YouTube  no words from me needed. God Bless,patmassie,,2014-09-13 00:29:49
1354233328501719041,Remember covid-19 and different srtains of the Wuhan flu are know different to the common flu variances however mat… https://t.co/gRPvFIkFXk,andypigsb,,2009-05-17 20:51:52
1354233302815662086,Aid Covid lending tug o' wars in the Pacific... https://t.co/MQcgEz1cfy https://t.co/XN653tdqP6,terencewoodnz,,2016-12-13 21:18:37
1354233299644919808,The US is closing in on the 20 million  COVID-19 vaccinations initially promised by the end of 2020. Wisconsin is s… https://t.co/W9eOQ9PrWq,JosephPrestley,"Green Bay, WI",2020-10-07 04:26:03
1354233298873180161,"Saint Lucia records cases #922 to #969 of COVID-19

Today Tuesday January 26, 2021 the Ministry of Health and Welln… https://t.co/4dgzQZ4PIv",SlyouMagazine,,2020-01-08 17:55:23
1354233295991525380,New Vaccine Supply And Distribution Problems Slow Fight Against Covid — And Provide More Crisis Management Lessons… https://t.co/SkypVjDpMy,6Hurdles,"Florida, USA",2018-03-22 16:47:34
1354233293432975361,"Don't let Covid keep you down.  Let's chat!

Set up a virtual facial, send me a dm, text, or email.  I'm here to he… https://t.co/Lu6ELPGsCs",FredaSkinStudio,"Waynesboro, Virginia",2015-07-31 16:54:20
1354233293391028228,Grandma had Covid 19: She used 12 helpful tips to treated mild coronavir... https://t.co/jpm3ATACVD via @YouTube,BeautyHealthTra,,2014-06-28 17:49:18
1354233291226947592,"Please join us in thanking our healthcare and frontline workers (with a like, comment, or retweet) for their joinin… https://t.co/hkJZP7StGZ",ChoptankHealth,"Denton, MD",2010-11-19 21:25:33
1354233282356011009,"PM Boris Johnson says he takes “full responsibility” as the UK’s COVID-19 death toll passes 100,000.

The governmen… https://t.co/7AzwpmEPdp",AJEnglish,"Doha, Qatar",2007-04-17 08:23:08
1354233281194020865,(Op-Ed: COVID -- Why I Keep Trying) https://t.co/efUJuh233p https://t.co/a6uATcoRY2,Mazenz_Com,United States,2011-08-22 21:48:36
1354233274860769288,"New surgical caps are popping up in Sunnybrook’s #COVID19 units. Nurses, physicians and allied health professionals… https://t.co/jpP0mbVY0n",Sunnybrook,"Toronto, Ontario, Canada",2009-01-24 20:54:23
1354233257311809543,Last week Canada’s vaccine plan ran headlong into a serious supply shortage. The Trudeau government is vowing to ke… https://t.co/xfJjaJTs0T,Calgary_Life,"Calgary, Alberta, Canada",2008-10-20 12:28:04
1354233249497821185,Told her I had covid so I could cheat in peace for 14 days https://t.co/q9MEpvsrGC,Cholowood,🇩🇪,2016-05-30 02:01:34
1354233232431185920,"@EricTopol Also good health system!!
"" Israel is a great pilot country for the pharma companies—small and able to p… https://t.co/XPEJmhg2Um",_dim_ma_,"Berlin, Germany",2011-11-04 22:55:08
1354233231659462659,"Hospital bed seller with COVID centre contract FINED $5,000 for opening ... https://t.co/bWMY2Dn6gB via @YouTube",DianeLeboeuf1,,2020-05-07 04:02:11
1354233228471787524,"Breathing is overrated, the earth is dying, Biden is totally competent, just waiting for my daily COVID suppository… https://t.co/WYZsHmXUfz",derek_forness,,2020-05-24 23:42:18
1354233225875435521,@Nick_Pye Probably because people that read it were understandably concerned and the change is an attempt to mislea… https://t.co/ZlcdRUMKKk,Dearieme2,🌍,2018-12-06 23:51:46
1354233225502199808,"US COVID Deaths: The states with the fastest week-on-week growth in daily fatalities are Hawaii (413%), Alaska (400… https://t.co/NnulLQdkyp",ExanteData,"New York, NY",2016-10-11 20:40:14
1354233203427573763,"@RandPaul @LadyRedWave Thank You @RandPaul ✝️🇺🇸✡️♥️🕊You are an honorable man, and Senator to stand up for what is r… https://t.co/ETo7jn39VA",MARGARETFlana18,"New York, USA",2016-08-01 07:12:22
1354233202215325698,Local excursion trips and family travels became popular with domestic tourists opting to stay where they are to spe… https://t.co/vH6t9dHFTB,CenturyTribune,United States,2016-12-31 01:19:08
1354233200260866055,Ya girl just tested negative for covid https://t.co/wZVgdzje1V,MionneDestiny_,"Atlanta, GA",2016-01-14 18:01:50
1354233186532749317,i got my covid test results in and it just says gay? what does this mean?? https://t.co/qGlMzKtbqX,popsalts,,2020-12-06 09:51:48
1354233180887388162,"From @SueAnnLevy: COVID exacerbates toxic Opioid use, consultation hears 
#COVID19 #torpoli #COVID19Ontario… https://t.co/OshkUtlWxF",TheTorontoSun,"365 Bloor St. E., Toronto, ON",2009-03-16 14:45:06
1354233180170018819,"COVID Is Creating a Deadly Mental Health Crisis in America https://t.co/E7u8SJiddc via @YouTube 

no shit",IsaacRafio,🇵🇭,2015-09-05 07:15:52
