tw_date,air_travel,banking,death,divine,envy,gain,independence,injury,masculine,negotiate,payment,programming,reading,religion,sleep,swearing_terms,technology,tourism,weakness,worship,count
2019-01-01,0.014925373134328358,0.05970149253731343,0.22388059701492538,0.04477611940298507,0.0,0.029850746268656716,0.0,0.208955223880597,0.07462686567164178,0.014925373134328358,0.05970149253731343,0.04477611940298507,0.1044776119402985,0.0,0.07462686567164178,0.07462686567164178,0.05970149253731343,0.014925373134328358,0.014925373134328358,0.0,67
2019-01-02,0.1,0.04285714285714286,0.3,0.014285714285714285,0.0,0.02857142857142857,0.0,0.3,0.0,0.0,0.02857142857142857,0.014285714285714285,0.17142857142857143,0.014285714285714285,0.15714285714285714,0.07142857142857142,0.02857142857142857,0.0,0.014285714285714285,0.014285714285714285,70
2019-01-03,0.020202020202020204,0.04040404040404041,0.26262626262626265,0.020202020202020204,0.06060606060606061,0.010101010101010102,0.010101010101010102,0.25252525252525254,0.010101010101010102,0.0,0.010101010101010102,0.020202020202020204,0.1111111111111111,0.0,0.1414141414141414,0.09090909090909091,0.050505050505050504,0.020202020202020204,0.030303030303030304,0.0,99
2019-01-04,0.04395604395604396,0.04395604395604396,0.38461538461538464,0.03296703296703297,0.02197802197802198,0.02197802197802198,0.01098901098901099,0.3076923076923077,0.054945054945054944,0.02197802197802198,0.02197802197802198,0.02197802197802198,0.08791208791208792,0.01098901098901099,0.24175824175824176,0.0989010989010989,0.02197802197802198,0.01098901098901099,0.04395604395604396,0.0,91
2019-01-05,0.013333333333333334,0.0,0.25333333333333335,0.013333333333333334,0.06666666666666667,0.013333333333333334,0.013333333333333334,0.29333333333333333,0.04,0.0,0.013333333333333334,0.02666666666666667,0.12,0.02666666666666667,0.09333333333333334,0.05333333333333334,0.06666666666666667,0.013333333333333334,0.10666666666666667,0.013333333333333334,75
2019-01-06,0.023529411764705882,0.023529411764705882,0.24705882352941178,0.09411764705882353,0.023529411764705882,0.023529411764705882,0.03529411764705882,0.2235294117647059,0.03529411764705882,0.0,0.03529411764705882,0.011764705882352941,0.17647058823529413,0.011764705882352941,0.24705882352941178,0.047058823529411764,0.023529411764705882,0.03529411764705882,0.023529411764705882,0.023529411764705882,85
2019-01-07,0.05,0.0,0.3,0.0375,0.0125,0.0125,0.0125,0.275,0.0125,0.0,0.0625,0.0125,0.1375,0.025,0.175,0.1125,0.0375,0.0125,0.075,0.0125,80
2019-01-08,0.010869565217391304,0.021739130434782608,0.34782608695652173,0.021739130434782608,0.03260869565217391,0.08695652173913043,0.05434782608695652,0.32608695652173914,0.05434782608695652,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.10869565217391304,0.0,0.16304347826086957,0.03260869565217391,0.05434782608695652,0.021739130434782608,0.14130434782608695,0.0,92
2019-01-09,0.024691358024691357,0.04938271604938271,0.25925925925925924,0.024691358024691357,0.012345679012345678,0.06172839506172839,0.06172839506172839,0.2839506172839506,0.012345679012345678,0.012345679012345678,0.04938271604938271,0.012345679012345678,0.06172839506172839,0.037037037037037035,0.1111111111111111,0.09876543209876543,0.024691358024691357,0.037037037037037035,0.012345679012345678,0.0,81
2019-01-10,0.045454545454545456,0.030303030303030304,0.13636363636363635,0.15151515151515152,0.030303030303030304,0.015151515151515152,0.0,0.16666666666666666,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.06060606060606061,0.07575757575757576,0.12121212121212122,0.09090909090909091,0.06060606060606061,0.030303030303030304,0.015151515151515152,0.15151515151515152,66
