Date,air_travel,banking,death,divine,envy,gain,independence,injury,masculine,negotiate,payment,programming,reading,religion,sleep,swearing_terms,technology,tourism,weakness,worship,count
2020-02-19,0.04296875,0.0361328125,0.267578125,0.0556640625,0.0263671875,0.044921875,0.0224609375,0.2314453125,0.0341796875,0.0244140625,0.0419921875,0.037109375,0.1630859375,0.041015625,0.150390625,0.0673828125,0.0625,0.025390625,0.0595703125,0.0224609375,1024
2020-03-04,0.04,0.0,0.2,0.04,0.08,0.04,0.0,0.28,0.04,0.0,0.0,0.04,0.04,0.04,0.24,0.08,0.12,0.0,0.04,0.0,25
2020-03-18,0.015063424947145878,0.0459830866807611,0.20190274841437633,0.05628964059196617,0.016120507399577166,0.029069767441860465,0.012156448202959831,0.18710359408033828,0.01982029598308668,0.009778012684989429,0.048890063424947144,0.07875264270613108,0.10570824524312897,0.040169133192389,0.11495771670190275,0.0776955602536998,0.09883720930232558,0.010835095137420718,0.06210359408033827,0.03858350951374207,3784
2020-04-01,0.012846865364850977,0.03699897225077081,0.20298047276464543,0.05344295991778006,0.015416238437821172,0.030318602261048305,0.022096608427543678,0.1947584789311408,0.02672147995889003,0.008221993833504625,0.03699897225077081,0.06885919835560124,0.13514902363823228,0.039568345323741004,0.12744090441932168,0.06012332990750257,0.09763617677286741,0.011819116135662899,0.046762589928057555,0.03905447070914697,1946
2020-04-15,0.0234208658623137,0.0333569907735983,0.21078779276082327,0.03761533002129169,0.0227111426543648,0.043293115684882894,0.016323633782824698,0.20865862313697658,0.021291696238467,0.007097232079488999,0.0227111426543648,0.053229240596167494,0.1483321504613201,0.0262597586941093,0.16181689141234917,0.054648687012065295,0.099361249112846,0.0262597586941093,0.060326472675656495,0.0227111426543648,1409
2020-05-06,0.01956521739130435,0.0391304347826087,0.21884057971014492,0.041304347826086954,0.017391304347826087,0.03333333333333333,0.02246376811594203,0.19927536231884058,0.020289855072463767,0.006521739130434782,0.034782608695652174,0.04565217391304348,0.15217391304347827,0.031159420289855074,0.1246376811594203,0.07318840579710145,0.09057971014492754,0.016666666666666666,0.05579710144927536,0.030434782608695653,1380
2020-05-20,0.02185430463576159,0.03774834437086093,0.24304635761589405,0.0456953642384106,0.022516556291390728,0.04370860927152318,0.02185430463576159,0.23311258278145697,0.019867549668874173,0.009271523178807948,0.02384105960264901,0.05364238410596026,0.1576158940397351,0.02781456953642384,0.123841059602649,0.04437086092715232,0.08543046357615894,0.026490066225165563,0.05231788079470199,0.03377483443708609,1510
2020-06-03,0.03345724907063197,0.028810408921933085,0.24907063197026022,0.05297397769516728,0.023234200743494422,0.040892193308550186,0.016728624535315983,0.25185873605947956,0.019516728624535316,0.011152416356877323,0.03717472118959108,0.055762081784386616,0.14312267657992564,0.03810408921933085,0.11431226765799256,0.06784386617100371,0.09200743494423792,0.015799256505576207,0.047397769516728624,0.03345724907063197,1076
2020-06-17,0.017424242424242425,0.03333333333333333,0.2356060606060606,0.03409090909090909,0.025,0.03106060606060606,0.021212121212121213,0.2128787878787879,0.020454545454545454,0.007575757575757576,0.031818181818181815,0.05303030303030303,0.12272727272727273,0.030303030303030304,0.12878787878787878,0.07348484848484849,0.09090909090909091,0.020454545454545454,0.05303030303030303,0.03106060606060606,1320
2020-07-01,0.029770992366412213,0.038931297709923665,0.21221374045801528,0.029770992366412213,0.03587786259541985,0.04961832061068702,0.015267175572519083,0.21908396946564884,0.022137404580152672,0.00916030534351145,0.04351145038167939,0.031297709923664124,0.10534351145038168,0.02748091603053435,0.1297709923664122,0.07633587786259542,0.08015267175572519,0.013740458015267175,0.06030534351145038,0.022900763358778626,1310
2020-07-15,0.02,0.0328,0.204,0.0408,0.0288,0.0256,0.0176,0.1984,0.0248,0.0096,0.032,0.044,0.1296,0.0368,0.14,0.0808,0.0752,0.0152,0.0504,0.0368,1250
2020-08-05,0.021775544388609715,0.024288107202680067,0.2562814070351759,0.035175879396984924,0.023450586264656615,0.03350083752093802,0.011725293132328308,0.23366834170854273,0.03350083752093802,0.006700167504187605,0.022613065326633167,0.05025125628140704,0.12479061976549413,0.023450586264656615,0.1407035175879397,0.07370184254606366,0.07370184254606366,0.02763819095477387,0.04522613065326633,0.017587939698492462,1194
2020-08-19,0.016055045871559634,0.03363914373088685,0.1827217125382263,0.04434250764525994,0.020642201834862386,0.07568807339449542,0.04434250764525994,0.22018348623853212,0.026758409785932722,0.011467889908256881,0.0290519877675841,0.039755351681957186,0.11238532110091744,0.05657492354740061,0.1246177370030581,0.0863914373088685,0.06116207951070336,0.020642201834862386,0.0389908256880734,0.03211009174311927,1308
2020-09-02,0.023571428571428573,0.03142857142857143,0.24142857142857144,0.03642857142857143,0.019285714285714285,0.05142857142857143,0.020714285714285713,0.21428571428571427,0.032857142857142856,0.013571428571428571,0.03214285714285714,0.04857142857142857,0.12214285714285714,0.03142857142857143,0.12357142857142857,0.08357142857142857,0.075,0.0064285714285714285,0.045714285714285714,0.022857142857142857,1400
2020-09-16,0.05707395498392283,0.03536977491961415,0.21302250803858522,0.05546623794212219,0.028938906752411574,0.0635048231511254,0.027331189710610933,0.20819935691318328,0.03215434083601286,0.01045016077170418,0.03135048231511254,0.04501607717041801,0.12057877813504823,0.05305466237942122,0.1310289389067524,0.09405144694533762,0.06993569131832797,0.018488745980707395,0.04019292604501608,0.04983922829581994,1244
