Date,air_travel,banking,death,divine,envy,gain,independence,injury,masculine,negotiate,payment,programming,reading,religion,sleep,swearing_terms,technology,tourism,weakness,worship,count
01-Apr-2020 04:34PM,0.0,0.0,1.3157894736842106,0.05263157894736842,0.0,0.0,0.0,0.6842105263157895,0.0,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,19
01-Apr-2020 04:35PM,0.0,0.0,1.1111111111111112,0.05555555555555555,0.3333333333333333,0.0,0.0,0.8888888888888888,0.16666666666666666,0.0,0.0,0.0,0.05555555555555555,0.0,0.2222222222222222,0.16666666666666666,0.0,0.0,0.05555555555555555,0.0,18
01-Apr-2020 04:36PM,0.0,0.0,1.15,0.0,0.25,0.0,0.0,0.65,0.2,0.0,0.0,0.1,0.1,0.1,0.15,0.05,0.15,0.0,0.0,0.0,20
01-Apr-2020 04:37PM,0.05,0.0,0.75,0.2,0.0,0.0,0.0,0.55,0.1,0.0,0.05,0.05,0.05,0.05,0.05,0.1,0.2,0.0,0.05,0.1,20
01-Apr-2020 04:38PM,0.0,0.0,0.9333333333333333,0.0,0.0,0.13333333333333333,0.0,0.6666666666666666,0.0,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.2,0.06666666666666667,0.0,0.0,0.0,0.0,15
01-Apr-2020 04:39PM,0.1111111111111111,0.1111111111111111,1.2222222222222223,0.2222222222222222,0.0,0.1111111111111111,0.0,0.7222222222222222,0.05555555555555555,0.0,0.0,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.05555555555555555,0.0,0.05555555555555555,0.2222222222222222,18
01-Apr-2020 04:40PM,0.11764705882352941,0.11764705882352941,0.9411764705882353,0.0,0.0,0.058823529411764705,0.0,0.5294117647058824,0.11764705882352941,0.0,0.0,0.058823529411764705,0.17647058823529413,0.0,0.11764705882352941,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,17
01-Apr-2020 04:41PM,0.05555555555555555,0.0,0.7777777777777778,0.0,0.0,0.05555555555555555,0.0,0.4444444444444444,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,18
01-Apr-2020 04:42PM,0.0625,0.3125,1.0,0.125,0.0,0.0625,0.0,0.4375,0.0,0.125,0.3125,0.0625,0.0625,0.125,0.0625,0.125,0.0625,0.0,0.0,0.0,16
01-Apr-2020 04:43PM,0.0,0.045454545454545456,0.8636363636363636,0.0,0.045454545454545456,0.0,0.0,0.5909090909090909,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.13636363636363635,0.0,0.0,0.0,0.0,22
01-Apr-2020 04:44PM,0.0,0.0,0.6923076923076923,0.0,0.0,0.23076923076923078,0.0,0.6153846153846154,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,13
01-Apr-2020 04:45PM,0.08695652173913043,0.2608695652173913,0.6956521739130435,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.391304347826087,0.0,0.21739130434782608,0.30434782608695654,0.043478260869565216,0.391304347826087,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.0,0.0,0.0,23
01-Apr-2020 04:46PM,0.0,0.2222222222222222,1.0,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.5,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,18
01-Apr-2020 04:47PM,0.058823529411764705,0.29411764705882354,1.411764705882353,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.8823529411764706,0.0,0.11764705882352941,0.29411764705882354,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.23529411764705882,0.0,0.0,0.0,17
01-Apr-2020 04:48PM,0.08333333333333333,0.25,0.5,0.0,0.0,0.0,0.08333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.25,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,12
01-Apr-2020 04:49PM,0.04,0.04,1.0,0.04,0.08,0.0,0.0,0.6,0.0,0.0,0.08,0.0,0.04,0.12,0.04,0.04,0.0,0.04,0.04,0.0,25
01-Apr-2020 04:50PM,0.0,0.05555555555555555,1.3888888888888888,0.0,0.0,0.1111111111111111,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,18
01-Apr-2020 04:51PM,0.06666666666666667,0.06666666666666667,0.9333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,15
01-Apr-2020 04:52PM,0.0,0.0,1.2,0.26666666666666666,0.0,0.06666666666666667,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.2,15
01-Apr-2020 04:53PM,0.0,0.1,0.8,0.0,0.0,0.0,0.05,0.45,0.05,0.05,0.1,0.05,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,20
